conds)
Cbc0010I After 244840 nodes, 61096 on tree, 11 best solution, best possible 8 (135.98 seconds)
Cbc0010I After 245406 nodes, 61246 on tree, 11 best solution, best possible 8 (136.68 seconds)
Cbc0010I After 245980 nodes, 61463 on tree, 11 best solution, best possible 8.4 (137.38 seconds)
Cbc0010I After 246677 nodes, 61602 on tree, 11 best solution, best possible 8.5 (138.08 seconds)
Cbc0010I After 247400 nodes, 61739 on tree, 11 best solution, best possible 8.5 (138.78 seconds)
Cbc0010I After 248204 nodes, 61839 on tree, 11 best solution, best possible 8.5 (139.48 seconds)
Cbc0010I After 249173 nodes, 61788 on tree, 11 best solution, best possible 8.5 (140.18 seconds)
Cbc0010I After 249914 nodes, 62072 on tree, 11 best solution, best possible 8.5 (140.89 seconds)
Cbc0010I After 250642 nodes, 62238 on tree, 11 best solution, best possible 8.5 (141.59 seconds)
Cbc0010I After 251320 nodes, 62378 on tree, 11 best solution, best possible 8.5 (142.29 seconds)
Cbc0010I After 252015 nodes, 62514 on tree, 11 best solution, best possible 8.5 (142.99 seconds)
Cbc0010I After 252970 nodes, 62349 on tree, 11 best solution, best possible 8.5 (143.69 seconds)
Cbc0010I After 253675 nodes, 62654 on tree, 11 best solution, best possible 8.5 (144.39 seconds)
Cbc0010I After 254379 nodes, 62856 on tree, 11 best solution, best possible 8.5 (145.09 seconds)
Cbc0010I After 255018 nodes, 63013 on tree, 11 best solution, best possible 8.5 (145.79 seconds)
Cbc0010I After 255735 nodes, 63467 on tree, 11 best solution, best possible 8.5 (146.49 seconds)
Cbc0010I After 256585 nodes, 63531 on tree, 11 best solution, best possible 8.5 (147.19 seconds)
Cbc0010I After 257345 nodes, 63515 on tree, 11 best solution, best possible 8.5 (147.89 seconds)
Cbc0010I After 257995 nodes, 63757 on tree, 11 best solution, best possible 8.5 (148.59 seconds)
Cbc0010I After 258634 nodes, 64192 on tree, 11 best solution, best possible 8.5 (149.30 seconds)
Cbc0010I After 259290 nodes, 64687 on tree, 11 best solution, best possible 8.5 (150.00 seconds)
Cbc0010I After 260030 nodes, 65207 on tree, 11 best solution, best possible 8.5 (150.70 seconds)
Cbc0010I After 261057 nodes, 65208 on tree, 11 best solution, best possible 8.5 (151.40 seconds)
Cbc0010I After 261748 nodes, 65442 on tree, 11 best solution, best possible 8.6666667 (152.10 seconds)
Cbc0010I After 262661 nodes, 65932 on tree, 11 best solution, best possible 8.6666667 (152.80 seconds)
Cbc0010I After 263490 nodes, 66508 on tree, 11 best solution, best possible 8.6666667 (153.50 seconds)
Cbc0010I After 264371 nodes, 66811 on tree, 11 best solution, best possible 8.6666667 (154.20 seconds)
Cbc0010I After 265634 nodes, 66728 on tree, 11 best solution, best possible 9 (154.90 seconds)
Cbc0010I After 266513 nodes, 67305 on tree, 11 best solution, best possible 9 (155.60 seconds)
Cbc0010I After 267388 nodes, 67875 on tree, 11 best solution, best possible 9 (156.31 seconds)
Cbc0010I After 268345 nodes, 68214 on tree, 11 best solution, best possible 9 (157.01 seconds)
